lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00270,0.00270
0.10000,0.00121,0.00125,0.00192,0.00175,0.00270,0.00241
0.20000,0.00121,0.00111,0.00192,0.00133,0.00270,0.00206
0.30000,0.00121,0.00110,0.00192,0.00109,0.00270,0.00182
0.40000,0.00121,0.00133,0.00192,0.00095,0.00270,0.00164
0.50000,0.00121,0.00123,0.00192,0.00084,0.00270,0.00151
0.60000,0.00121,0.00099,0.00192,0.00071,0.00270,0.00140
0.70000,0.00121,0.00083,0.00192,0.00061,0.00270,0.00130
0.80000,0.00121,0.00081,0.00192,0.00060,0.00270,0.00129
0.90000,0.00121,0.00084,0.00192,0.00066,0.00270,0.00131
1.00000,0.00121,0.00056,0.00192,0.00056,0.00270,0.00126
